Key,Id,Arabic(ar),Chinese (Simplified)(zh-Hans),English(en)
"CREATE LOBBY",1940407652352,"إنشاء لوبي","创建大厅","CREATE LOBBY"
"QUARTERMASTER",27596319297536,"مسؤول التموين","军需","QUARTERMASTER"
"PLAY",27825789669376,"يلعب","玩","PLAY"
"SETTINGS",27920153120768,"إعدادات","设置","SETTINGS"
"QUIT",27997923905536,"يترك","辞职","QUIT"
"1",28069533257728,"واحد","一","1"
"2",28195429486592,"إثنان","二","2"
"3",28231622135808,"ثلاثة","三","3"
"4",28268108386304,"أربعة","四","4"
"ITEMS",28330741927936,"مجموعة أدوات طبية

مفتاح المخزون

مسدس","医疗包

库存钥匙

手枪","MEDKIT

INVENTORYKEY

PISTOL"
"LOADING",28501366214656,"...تحميل","加载中...","LOADING..."
"BACK TO MAIN MENU",28672208605184,"العودة إلى القائمة الرئيسية","返回主菜单","BACK TO MAIN MENU"
"JOIN LOBBY TEXT",28776852295680,"انضم إلى اللوبي","加入大厅","JOIN LOBBY"
"ENTER CODE HERE",28870926340096,"أدخل الرمز هنا","在此输入代码","ENTER CODE HERE"
"SETTINGS2",30859911434240,"إعدادات","设置","SETTINGS"
"CONTROLS",31102497394688,"الضوابط","控制","CONTROLS"
"AUDIO",31254410891264,"صوتي","声音的","AUDIO"
"VIDEO",31328079646720,"فيديو","视频","VIDEO"
"RETURN",31425773375488,"يعود","返回","RETURN"
"MOVE FORWARD",32195419770880,"أرشيف التصنيف","继续前进","MOVE FORWARD"
"MOVE BACKWARD",32265355595776,"التحرك للخلف","向后移动","MOVE BACKWARD"
"MOVE LEFT",32339875794944,"تحرك إلى اليسار","向左移动","MOVE LEFT"
"MOVE RIGHT",32415381655552,"تحرك لليمين","向右移动","MOVE RIGHT"
"SPRINT",32474840109056,"سبرينت","短跑","SPRINT"
"CROUCH",32539310755840,"كراوتش","蹲伏","CROUCH"
"PICK UP",32609917669376,"يلتقط","捡起","PICK UP"
"DROP",32661360807936,"يسقط","降低","DROP"
"ITEM SLOT 1",32726146027520,"لعنصر رقم 1","物品栏 1","ITEM SLOT 1"
"ITEM SLOT 2",32846497386496,"العنصر رقم 2","物品栏 2","ITEM SLOT 2"
"ITEM SLOT 3",32942911852544,"العنصر رقم 3","物品栏 3","ITEM SLOT 3"
"ITEM SLOT 4",33000533200896,"العنصر رقم 4","物品栏 4","ITEM SLOT 4"
"ITEM SCROLL",33045982679040,"物品滚动","物品滚动","ITEM SCROLL"
"USE",33109853540352,"يستخدم","使用","USE"
"SHOOT",33163859398656,"تبادل لاطلاق النار","射击","SHOOT"
"MASTER VOLUME",36227588755456,"المجلد الرئيسي","主音量","MASTER VOLUME"
"MUSIC VOLUME",36341384417280,"حجم الموسيقى","音乐音量","MUSIC VOLUME"
"SFX VOLUME",36425014644736,"حجم المؤثرات الصوتية","音效音量","SFX VOLUME"
